rocket_name,launchpad_name,year,total_launches,successful_launches,success_rate
Falcon 1,Kwajalein Atoll,2009,1,True,100.0
Falcon 9,CCSFS SLC 40,2013,2,2,100.0
Falcon 9,CCSFS SLC 40,2012,2,2,100.0
Falcon 9,CCSFS SLC 40,2010,2,2,100.0
Falcon 9,CCSFS SLC 40,2014,6,6,100.0
Falcon 9,CCSFS SLC 40,2020,14,14,100.0
Falcon 9,CCSFS SLC 40,2017,1,True,100.0
Falcon 9,CCSFS SLC 40,2018,12,12,100.0
Falcon 9,CCSFS SLC 40,2021,16,16,100.0
Falcon 9,CCSFS SLC 40,2022,21,21,100.0
Falcon 9,CCSFS SLC 40,2019,8,8,100.0
Falcon 9,KSC LC 39A,2021,12,12,100.0
Falcon 9,KSC LC 39A,2020,11,11,100.0
Falcon 9,KSC LC 39A,2019,1,True,100.0
Falcon 9,KSC LC 39A,2018,2,2,100.0
Falcon 9,KSC LC 39A,2017,12,12,100.0
Falcon 9,VAFB SLC 4E,2017,5,5,100.0
Falcon 9,VAFB SLC 4E,2018,6,6,100.0
Falcon 9,VAFB SLC 4E,2019,2,2,100.0
Falcon 9,VAFB SLC 4E,2020,1,True,100.0
Falcon 9,VAFB SLC 4E,2021,3,3,100.0
Falcon 9,KSC LC 39A,2022,14,14,100.0
Falcon 9,VAFB SLC 4E,2013,1,True,100.0
Falcon 9,VAFB SLC 4E,2016,1,True,100.0
Falcon Heavy,KSC LC 39A,2018,1,True,100.0
Falcon 9,VAFB SLC 4E,2022,8,8,100.0
Falcon Heavy,KSC LC 39A,2019,2,2,100.0
Falcon 9,CCSFS SLC 40,2016,8,7,87.5
Falcon 9,CCSFS SLC 40,2015,7,6,85.71428571428571
Falcon 1,Kwajalein Atoll,2008,2,1,50.0
Falcon 1,Kwajalein Atoll,2006,1,False,0.0
Falcon 1,Kwajalein Atoll,2007,1,False,0.0
Falcon Heavy,KSC LC 39A,2022,0,0,
